,id,url,subtype,transaction,owner,sell-type,provider,title,location,features,description,price,price2,m2,rooms,amueblado,parking,distrito,temporalidad,cambio_precio,baños
0,id2277003487234,https://www.habitaclia.com/alquiler-piso-de_100m2_con_dos_habitaciones_totalmente_amueblado_en_plaza_gotic-barcelona-i2277003487234.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,2277-2,Alquiler Piso Plaza del pí. Piso de 100m² con dos habitaciones totalmente amueblado en plaza,Barcelona - Gòtic,"103m2 - 2 habitaciones - 2 baños - 19,42€/m2",Piso de 100m² en Plaza del Pí con acceso a terraza comunitaria. La vivienda dispone de un amplio salón comedor exterio...,"Oportunidad
2.000 €
ha bajado 100 €",2000,103,2,No,No,Ciutat Vella,Indefinido,Si,2
1,id3974003524929,https://www.habitaclia.com/alquiler-piso-gotic-barcelona-i3974003524929.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,3974-1,Alquiler Piso Carrer de la mercè,Barcelona - Gòtic,"95m2 - 2 habitaciones - 2 baños - 20,00€/m2",EXCLUSIVIDAD - FINCA NUEVA - TERRAZA - PISCINA - WIFI - ALTO STANDING- Piso de 2 habitaciones en finca totalmente rehabi...,"1.900 €
ha bajado 100 €",1900,95,2,Si,No,Ciutat Vella,Indefinido,Si,2
2,id1948004073754,https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_amueblado_con_ascensor_calefaccion_y_ai_gotic-barcelona-i1948004073754.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,1948-1,"Alquiler Piso en Gòtic. Piso con 2 habitaciones amueblado con ascensor, calefacción y ai",Barcelona - Gòtic,"63m2 - 2 habitaciones - 1 baño - 33,33€/m2",Este apartamento cómodo de buenas dimensiones tiene todo lo que necesita para vivir en el casco antiguo de Barcelona. Ub...,2.100 €,2100,63,2,Si,No,Ciutat Vella,Indefinido,No,1
3,id27758000002114,https://www.habitaclia.com/alquiler-piso-de_temporal_de_1_habitacion_a_unos_pasos_del_mar_y_barceloneta-barcelona-i27758000002114.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,27758-1,Alquiler Piso Passeig de joan de borbó. Piso de alquiler temporal de 1 habitación a unos pasos del mar y,Barcelona - Barceloneta,"52m2 - 1 habitacion - 1 baño - 33,65€/m2",Apartamento de alquiler temporal (desde 32 días a 11 meses) Disponibilidad inmediata Este moderno piso de 52 m2 tien...,1.750 €,1750,52,1,No,No,Ciutat Vella,Temporal,No,1
4,id4737003817059,https://www.habitaclia.com/alquiler-piso-planta_baja_amueblada_de_tres_dormitorios_en_el_gotico_gotic-barcelona-i4737003817059.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,4737-1,Alquiler Piso en Gòtic. Planta baja amueblada de tres dormitorios en el gótico,Barcelona - Gòtic,"150m2 - 3 habitaciones - 1 baño - 13,33€/m2","Situado en una finca regia de El Gótico, cerca de la Plaza Real y La Rambla, se ubica esta planta baja amueblada de 150...",2.000 €,2000,150,3,Si,No,Ciutat Vella,Indefinido,No,1
5,id4737003816899,https://www.habitaclia.com/alquiler-piso-en_reformado_y_amueblado_el_gotic_gotic-barcelona-i4737003816899.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,4737-1,"Alquiler Piso Carrer d'en gignàs. Piso en alquiler reformado y amueblado, el gótic",Barcelona - Gòtic,"83m2 - 2 habitaciones - 2 baños - 26,51€/m2","Disponibilidad a partir del 8 de Mayo. Accedemos al piso a través del salón-comedor, el cual está muy bien distribuid...",2.200 €,2200,83,2,Si,No,Ciutat Vella,Indefinido,No,2
6,id3974003524932,https://www.habitaclia.com/alquiler-piso-gotic-barcelona-i3974003524932.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,3974-1,Alquiler Piso Carrer de la mercè,Barcelona - Gòtic,"95m2 - 3 habitaciones - 2 baños - 23,16€/m2",EXCLUSIVIDAD - FINCA NUEVA - TERRAZA - PISCINA - WIFI - ALTO STANDING- Piso de 2 habitaciones en finca totalmente rehabi...,"2.200 €
ha bajado 200 €",2200,95,3,Si,No,Ciutat Vella,Indefinido,Si,2
8,id5352001946728,https://www.habitaclia.com/alquiler-piso-espectacular_en_en_el_borne_st_pere_sta_caterina_el_born-barcelona-i5352001946728.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,5352-1,Alquiler Piso en St. Pere - Sta. Caterina - El Born. Espectacular piso en alquiler en el borne,Barcelona - St. Pere - Sta. Caterina - El Born,"150m2 - 3 habitaciones - 3 baños - 33,33€/m2",ESTA PROPIEDAD ES TOTALMENTE EXTERIOR. LA FINCA DISPONE DE ASCENSOR Y SERVICIO DE CONSEJERÍA Berkshire Hathaway HomeS...,"5.000 €
ha bajado 1.000 €",5000,150,3,Si,No,Ciutat Vella,Indefinido,Si,3
9,id4542004335040,https://www.habitaclia.com/alquiler-piso-reformado_impecable_plaza_de_la_vila_de_madrid_4_gotic-barcelona-i4542004335040.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,4542-1,Alquiler Piso en Plaça de la vila de madrid 4. Piso reformado impecable,Barcelona - Gòtic,"75m2 - 3 habitaciones - 1 baño - 16,67€/m2",Precioso piso amueblado y completamente equipado. Reformado y limpio para entrar. Piso muy luminoso con dos balcones a...,"Oportunidad
1.250 €",1250,75,3,Si,No,Ciutat Vella,Indefinido,No,1
10,id27758000002129,https://www.habitaclia.com/alquiler-piso-comodo_y_practico_apartamento_a_pasos_de_avenida_paralelo_raval-barcelona-i27758000002129.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,27758-1,Alquiler Piso Carrer de la lleialtat. Cómodo y práctico apartamento a pasos de avenida paralelo,Barcelona - Raval,"34m2 - 1 habitacion - 1 baño - 26,18€/m2","Alquiler de temporada (desde 32 días a 11 meses). Disponible a partir del 03 de Julio, 2023 A un paso de las Rambla...",890 €,890,34,1,Si,No,Ciutat Vella,Temporal,No,1
11,id1948004073777,https://www.habitaclia.com/alquiler-piso-amueblado_con_ascensor_calefaccion_y_aire_acondicionado_gotic-barcelona-i1948004073777.htm?f=&geo=d&coddists=100&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,1948-1,"Alquiler Piso en Gòtic. Piso amueblado con ascensor, calefacción y aire acondicionado",Barcelona - Gòtic,"63m2 - 1 habitacion - 1 baño - 25,40€/m2",El apartamento está situado en el Barrio Gótico que realmente es el verdadero corazón de Barcelona. Se encuentra en la z...,1.600 €,1600,63,1,Si,No,Ciutat Vella,Indefinido,No,1
